766801	2002	08	22	DM	300
766802	2002	08	22	JB	300
766803	2002	12	04	BL	40
766804	2002	12	11	BL	40
766805	2002	12	10	JB	200
766806	2002	12	14	DM	200
766807	2003	01	02	BL	40
766808	0000	00	00	XX	000
766809	2003	01	08	BL	300	
766810	2003	01	10	BL	40
766811	2003	02	07	JB	200
766812	2003	02	16	DM	100
766813	2003	03	14	DM	100
766814	2003	04	23	JB	250
766815	2003	06	20	JB	70
766816	2003	06	30	NG	29.56
766817	2003	07	07	NG	200
766818	2003	06	01	NG	200
766819	2003	07	07	JB	50
766820	2003	08	01	NG	250
766821	2003	09	03	NG	200
766822	2003	10	03	NG	200
766823	2003	11	05	NG	200
766824	2003	11	05	JB	100
766825	2003	11	20	JB	200
766826	2003	10	15	NG	93.74
766827	2003	12	12	NG	75.00
766828	2003	12	04	NG	200
766829	2003	10	17	JB	300
766830	2003	12	30	JB	50
766831	2003	12	30	JB	275
766832	2004	04	01	NG	200
766833	2004	01	14	NG	75
733834	2004	02	04	NG	200
733853	0000	00	00	XX	00	
766836	2004	01	01	NS	100
766837	2004	03	10	NG	275
766838	2004	03	02	JB	300
766839	2004	04	02	NG	100
766840	2004	02	28	NS	100
766841	2004	04	01	NS	40
766842	2004	04	10	JB	96.57
766843	2004	04	10	JB	30
766844	2004	04	10	JB	6.35
766845	2004	04	10	JB	24.08
766846	2004	04	10	JB	39.98
766847	2004	05	13	JB	20
766848	2004	05	21	JB	50
766849	2004	05	21	JB	6
766850	2004	06	03	NG	200
766851	2004	05	03	JB	100
766852	2004	07	01	JB	100
766853	2004	07	07	JB	55.60
766854	2004	07	07	NG	250
766855	2004	07	30	MC	50
766856	2004	08	30	NG	200
766856	2004	09	04	NG	200
766858	2004	09	03	JB	500
000000	2004	08	01	CT	307.17
000000	0000	01	01	NG	207
000000	0000	01	01	CT	4557.74
766859	2004	10	04	NG	200	
766860	2004	05	03	NG	150
766861	2004	05	03	NG	50
766868	2005	01	03	JB	200
766869	2005	01	01	TB	325
766871	2005	01	13	JB	150
000000	2005	01	01	CT	300
