2004	02	05	68.08	Vonage	JB	NG	CT	NS
2004	02	17	42.51	Comcast	JB	NG	CT	NS
2004	02	20	168.00	Nipsco	JB	NG	CT	NS
2004	02	20	54.00	AEP	JB	NG	CT	NS
2004	03	01	600	RENT	JB	NG	CT	NS
2004	03	05	29.28	Vonage	JB	NG	CT	NS
2004	03	15	56.0	Comcast	JB	NG	CT	NS
2004	03	19	168.00	Nipsco	JB	NG	CT	NS
2004	03	19	54.00	AEP	JB	NG	CT	NS
2004	04	01	600	RENT	JB	NG	CT
2004	04	05	30.03	Vonage	JB	NG	CT
2004	04	15	56.0	Comcast	JB	NG	CT
2004	04	19	54.00	AEP	JB	NG	CT
2004	04	22	168.00	Nipsco	JB	NG	CT
2004	04	22	56.40	??	??	
2004	05	01	600	RENT	JB	NG	CT
2004	05	05	27.24	Vonage	JB	NG	CT
2004	05	17	56.0	Comcast	JB	NG	CT
2004	05	20	54.00	AEP	JB	NG	CT
2004	05	21	168.00	Nipsco	JB	NG	CT
2004	05	24	44.23	City	JB	NG	CT
2004	06	01	600	RENT	JB	NG	CT
2004	06	05	27.24	Vonage	JB	NG	CT
2004	06	10	59.39	Comcast	JB	NG	CT
2004	06	15	34.15	City	JB	NG	CT
2004	06	15	34.15	City	JB	NG	CT
2004	06	18	54.00	AEP	JB	NG	CT
2004	06	21	137.00	Nipsco	JB	NG	CT
2004	07	01	600	RENT	JB	NG	CT
2004	07	05	33.41	Vonage	JB	NG	CT
2004	07	12	44.33	City	JB	NG	CT
2004	07	12	59.39	Comcast	JB	NG	CT
2004	07	23	137.00	Nipsco	JB	NG	CT
2004	08	01	59.29	Comcast	JB	CT
2004	08	01	600	RENT	JB	NG	CT
2004	08	05	17.28	Vonage	NG
2004	08	05	33.41	Vonage	JB	NG	CT
2004	08	10	59.29	Comcast	JB	NG	CT
2004	08	16	15.25	AEP	JB	NG	CT
2004	08	22	137	Nipsco	JB	NG	CT
2004	08	24	101.64	City	CT	JB	NS
2004	09	01	100	RENT	NG
2004	09	01	500	RENT	JB	CT
2004	09	05	18.36	Vonage	NG
2004	09	05	32.95	Vonage	CT	NG	JB
2004	09	15	46.00	AEP	JB	CT
2004	09	20	137.00	Nipsco	JB	CT
2004	09	23	37.83	City	CT	JB
2004	09	29	46	Nipsco	JB	CT
2004	10	00	46	AEP	JB	CT
2004	10	01	100	RENT	NG
2004	10	01	500	RENT	JB	CT
